text,clean_text,sentiment
"Produk ini sangat bagus, saya sangat puas dengan kualitasnya",produk ini sangat bagus saya sangat puas dengan kualitasnya,positive
"Pelayanan toko ini luar biasa, cepat dan ramah",pelayanan toko ini luar biasa cepat dan ramah,positive
"Barang sesuai deskripsi, pengiriman cepat",barang sesuai deskripsi pengiriman cepat,positive
Sangat merekomendasikan produk ini kepada semua orang,sangat merekomendasikan produk ini kepada semua orang,positive
Kualitas terbaik yang pernah saya beli online,kualitas terbaik yang pernah saya beli online,positive
"Packaging rapi dan aman, barang sampai dengan selamat",packaging rapi dan aman barang sampai dengan selamat,positive
"Warna sesuai gambar, bahan juga bagus",warna sesuai gambar bahan juga bagus,positive
Harga terjangkau tapi kualitas tidak murahan,harga terjangkau tapi kualitas tidak murahan,positive
Seller sangat responsif dan membantu,seller sangat responsif dan membantu,positive
"Pengiriman super cepat, baru pesan besoknya sudah sampai",pengiriman super cepat baru pesan besoknya sudah sampai,positive
"Produknya awet, sudah dipakai berbulan-bulan masih bagus",produknya awet sudah dipakai berbulanbulan masih bagus,positive
"Puas banget belanja di sini, pasti repeat order",puas banget belanja di sini pasti repeat order,positive
Barang original dan berkualitas tinggi,barang original dan berkualitas tinggi,positive
"Terima kasih seller, barangnya keren banget",terima kasih seller barangnya keren banget,positive
"Desainnya cantik dan elegan, suka banget",desainnya cantik dan elegan suka banget,positive
Fungsi semua normal tidak ada masalah,fungsi semua normal tidak ada masalah,positive
"Ini pembelian kedua saya, tetap puas",ini pembelian kedua saya tetap puas,positive
Rekomended banget buat yang cari barang berkualitas,rekomended banget buat yang cari barang berkualitas,positive
Ukuran pas dan nyaman dipakai,ukuran pas dan nyaman dipakai,positive
"Value for money, worth it banget",value for money worth it banget,positive
Bahan adem dan nyaman dipakai seharian,bahan adem dan nyaman dipakai seharian,positive
Pengiriman cepat dan packing sangat aman,pengiriman cepat dan packing sangat aman,positive
"Barangnya bagus, tidak mengecewakan",barangnya bagus tidak mengecewakan,positive
Saya senang dengan pembelian ini,saya senang dengan pembelian ini,positive
Produk berkualitas dengan harga yang wajar,produk berkualitas dengan harga yang wajar,positive
Pelayanan pelanggan sangat memuaskan,pelayanan pelanggan sangat memuaskan,positive
Barang sampai tepat waktu dan sesuai pesanan,barang sampai tepat waktu dan sesuai pesanan,positive
Kualitasnya di atas ekspektasi saya,kualitasnya di atas ekspektasi saya,positive
"Toko terpercaya, barang selalu ready stock",toko terpercaya barang selalu ready stock,positive
"Ini toko langganan saya, selalu puas",ini toko langganan saya selalu puas,positive
"Sangat puas dengan hasilnya, recommended",sangat puas dengan hasilnya recommended,positive
"Barang sesuai foto, tidak ada yang cacat",barang sesuai foto tidak ada yang cacat,positive
Proses cepat dari pemesanan sampai pengiriman,proses cepat dari pemesanan sampai pengiriman,positive
"Seller amanah, barang dikirim sesuai pesanan",seller amanah barang dikirim sesuai pesanan,positive
Kualitas premium dengan harga bersahabat,kualitas premium dengan harga bersahabat,positive
"Bagus banget, teman-teman saya juga mau pesan",bagus banget temanteman saya juga mau pesan,positive
"Puas belanja di sini, pelayanannya top",puas belanja di sini pelayanannya top,positive
Barangnya bagus dan tahan lama,barangnya bagus dan tahan lama,positive
Produk ini melebihi ekspektasi saya,produk ini melebihi ekspektasi saya,positive
Selalu puas belanja di toko ini,selalu puas belanja di toko ini,positive
"Pengiriman sangat cepat, packing rapi sekali",pengiriman sangat cepat packing rapi sekali,positive
Barangnya original dan berkualitas,barangnya original dan berkualitas,positive
Tidak menyesal beli produk ini,tidak menyesal beli produk ini,positive
Sangat recommended untuk harga segitu,sangat recommended untuk harga segitu,positive
"Kualitasnya juara, sudah coba beberapa kali",kualitasnya juara sudah coba beberapa kali,positive
"Barang berfungsi dengan baik, tidak ada kendala",barang berfungsi dengan baik tidak ada kendala,positive
Pelayanan ramah dan profesional,pelayanan ramah dan profesional,positive
Pengalaman belanja yang menyenangkan,pengalaman belanja yang menyenangkan,positive
Produk terbaik di kelasnya,produk terbaik di kelasnya,positive
Saya sangat merekomendasikan toko ini,saya sangat merekomendasikan toko ini,positive
Barang rusak dan tidak bisa dipakai sama sekali,barang rusak dan tidak bisa dipakai sama sekali,negative
"Pelayanan sangat buruk, tidak ada respon dari seller",pelayanan sangat buruk tidak ada respon dari seller,negative
"Barang tidak sesuai dengan gambar, mengecewakan",barang tidak sesuai dengan gambar mengecewakan,negative
"Pengiriman sangat lama, sudah dua minggu belum sampai",pengiriman sangat lama sudah dua minggu belum sampai,negative
"Kualitas sangat rendah, tidak worth it",kualitas sangat rendah tidak worth it,negative
"Barang yang dikirim salah, dan seller tidak mau ganti",barang yang dikirim salah dan seller tidak mau ganti,negative
"Packing sangat buruk, barang sampai dalam kondisi rusak",packing sangat buruk barang sampai dalam kondisi rusak,negative
Uang saya tidak dikembalikan padahal barang tidak sampai,uang saya tidak dikembalikan padahal barang tidak sampai,negative
Sangat tidak puas dengan produk ini,sangat tidak puas dengan produk ini,negative
"Penipuan, barang tidak sesuai deskripsi",penipuan barang tidak sesuai deskripsi,negative
"Barang cepat rusak, baru dipakai sekali sudah rusak",barang cepat rusak baru dipakai sekali sudah rusak,negative
"Seller tidak amanah, pesanan tidak pernah dikirim",seller tidak amanah pesanan tidak pernah dikirim,negative
Toko ini tidak bisa dipercaya,toko ini tidak bisa dipercaya,negative
"Kualitasnya sangat jelek, buang-buang uang",kualitasnya sangat jelek buangbuang uang,negative
Pengiriman lambat dan barang tidak lengkap,pengiriman lambat dan barang tidak lengkap,negative
Barang cacat dan seller tidak mau bertanggung jawab,barang cacat dan seller tidak mau bertanggung jawab,negative
Sangat kecewa dengan pembelian ini,sangat kecewa dengan pembelian ini,negative
"Tidak sesuai ekspektasi, kualitas di bawah standar",tidak sesuai ekspektasi kualitas di bawah standar,negative
"Barang palsu, bukan original seperti yang dijanjikan",barang palsu bukan original seperti yang dijanjikan,negative
"Pelayanan buruk, chat tidak pernah dibalas",pelayanan buruk chat tidak pernah dibalas,negative
"Packing asal-asalan, barang pecah saat sampai",packing asalasalan barang pecah saat sampai,negative
"Warna tidak sesuai pesanan, sangat kecewa",warna tidak sesuai pesanan sangat kecewa,negative
Sudah bayar mahal tapi kualitasnya mengecewakan,sudah bayar mahal tapi kualitasnya mengecewakan,negative
"Barang hilang dalam pengiriman, tidak ada solusi",barang hilang dalam pengiriman tidak ada solusi,negative
"Toko tidak profesional, banyak masalah",toko tidak profesional banyak masalah,negative
Produk ini tidak berfungsi sama sekali,produk ini tidak berfungsi sama sekali,negative
"Sangat tidak recommended, banyak masalah",sangat tidak recommended banyak masalah,negative
Pengiriman delay berkali-kali tanpa kabar,pengiriman delay berkalikali tanpa kabar,negative
Barang datang dalam kondisi yang sangat buruk,barang datang dalam kondisi yang sangat buruk,negative
Saya minta refund tapi tidak diproses,saya minta refund tapi tidak diproses,negative
Kualitas bahan sangat tipis dan mudah sobek,kualitas bahan sangat tipis dan mudah sobek,negative
"Ukuran tidak sesuai, terlalu kecil dari deskripsi",ukuran tidak sesuai terlalu kecil dari deskripsi,negative
"Barang tidak original, merasa tertipu",barang tidak original merasa tertipu,negative
Seller kabur setelah terima pembayaran,seller kabur setelah terima pembayaran,negative
"Kecewa berat, produk tidak bisa dipakai",kecewa berat produk tidak bisa dipakai,negative
Pelayanan after sales sangat buruk,pelayanan after sales sangat buruk,negative
Barang tidak sampai tapi status sudah diterima,barang tidak sampai tapi status sudah diterima,negative
Tidak akan pernah beli di toko ini lagi,tidak akan pernah beli di toko ini lagi,negative
"Produk ini sampah, tidak ada gunanya",produk ini sampah tidak ada gunanya,negative
"Kualitas sangat rendah, cepat rusak",kualitas sangat rendah cepat rusak,negative
"Penjual tidak jujur, deskripsi bohong",penjual tidak jujur deskripsi bohong,negative
Barang yang datang berbeda jauh dari foto,barang yang datang berbeda jauh dari foto,negative
"Pengiriman sangat mengecewakan, lama sekali",pengiriman sangat mengecewakan lama sekali,negative
Sangat menyesal sudah beli di sini,sangat menyesal sudah beli di sini,negative
"Komplain tidak ditanggapi, seller cuek",komplain tidak ditanggapi seller cuek,negative
"Barang tidak lengkap, ada bagian yang hilang",barang tidak lengkap ada bagian yang hilang,negative
Kualitas menurun drastis dari pembelian sebelumnya,kualitas menurun drastis dari pembelian sebelumnya,negative
Tidak worth it untuk harganya,tidak worth it untuk harganya,negative
Pengalaman belanja terburuk saya,pengalaman belanja terburuk saya,negative
Produk rusak setelah beberapa hari pemakaian,produk rusak setelah beberapa hari pemakaian,negative
Seller tidak kooperatif sama sekali,seller tidak kooperatif sama sekali,negative
Barang tidak sesuai spesifikasi yang dijanjikan,barang tidak sesuai spesifikasi yang dijanjikan,negative
"Rugi beli di sini, banyak masalah",rugi beli di sini banyak masalah,negative
"Sangat tidak puas, tidak sesuai ekspektasi",sangat tidak puas tidak sesuai ekspektasi,negative
"Produk ini biasa saja, tidak ada yang spesial",produk ini biasa saja tidak ada yang spesial,neutral
"Barang sudah sampai, sesuai dengan harga",barang sudah sampai sesuai dengan harga,neutral
"Pengiriman standar, tidak terlalu cepat atau lambat",pengiriman standar tidak terlalu cepat atau lambat,neutral
Kualitas lumayan untuk harga segini,kualitas lumayan untuk harga segini,neutral
Produk ini cukup oke untuk penggunaan sehari-hari,produk ini cukup oke untuk penggunaan seharihari,neutral
"Barang sesuai pesanan, nothing special",barang sesuai pesanan nothing special,neutral
"Seller cukup responsif, pengiriman normal",seller cukup responsif pengiriman normal,neutral
"Packing standar, barang sampai dengan aman",packing standar barang sampai dengan aman,neutral
Tidak ada masalah dengan produk ini,tidak ada masalah dengan produk ini,neutral
Barang berfungsi normal seperti biasa,barang berfungsi normal seperti biasa,neutral
"Kualitas sesuai harga, tidak lebih tidak kurang",kualitas sesuai harga tidak lebih tidak kurang,neutral
Pengiriman sesuai estimasi waktu,pengiriman sesuai estimasi waktu,neutral
"Barang oke, tapi ada sedikit kekurangan",barang oke tapi ada sedikit kekurangan,neutral
Cukup puas tapi masih bisa lebih baik,cukup puas tapi masih bisa lebih baik,neutral
"Produk standar, tidak ada yang istimewa",produk standar tidak ada yang istimewa,neutral
"Pelayanan biasa saja, tidak ada yang spesial",pelayanan biasa saja tidak ada yang spesial,neutral
Barang sampai dan berfungsi dengan baik,barang sampai dan berfungsi dengan baik,neutral
"Kualitas rata-rata, sesuai ekspektasi",kualitas ratarata sesuai ekspektasi,neutral
Tidak kecewa tapi juga tidak terlalu puas,tidak kecewa tapi juga tidak terlalu puas,neutral
Produk ini cukup bagus untuk pemula,produk ini cukup bagus untuk pemula,neutral
"Pengiriman normal, tidak ada kendala",pengiriman normal tidak ada kendala,neutral
Barang sesuai deskripsi secara umum,barang sesuai deskripsi secara umum,neutral
Seller cukup ramah dan melayani dengan baik,seller cukup ramah dan melayani dengan baik,neutral
Produk ini cukup membantu tapi tidak sempurna,produk ini cukup membantu tapi tidak sempurna,neutral
"Harga standar, kualitas juga standar",harga standar kualitas juga standar,neutral
Barang berfungsi tapi ada fitur yang kurang,barang berfungsi tapi ada fitur yang kurang,neutral
Pengalaman belanja biasa saja,pengalaman belanja biasa saja,neutral
Barang sudah diterima dalam kondisi baik,barang sudah diterima dalam kondisi baik,neutral
Tidak ada keluhan khusus dengan produk ini,tidak ada keluhan khusus dengan produk ini,neutral
Kualitas produk sesuai dengan harganya,kualitas produk sesuai dengan harganya,neutral
Pelayanan cukup baik tapi tidak istimewa,pelayanan cukup baik tapi tidak istimewa,neutral
"Pengiriman seperti biasa, tidak ada masalah",pengiriman seperti biasa tidak ada masalah,neutral
Produk ini lumayan untuk harganya,produk ini lumayan untuk harganya,neutral
Barang cukup bagus tapi bukan yang terbaik,barang cukup bagus tapi bukan yang terbaik,neutral
Seller biasa saja dalam melayani,seller biasa saja dalam melayani,neutral
Kualitas produk tidak mengecewakan tapi juga tidak wow,kualitas produk tidak mengecewakan tapi juga tidak wow,neutral
Pesanan sampai sesuai jadwal,pesanan sampai sesuai jadwal,neutral
Barang oke untuk penggunaan biasa,barang oke untuk penggunaan biasa,neutral
Cukup puas dengan pembelian ini,cukup puas dengan pembelian ini,neutral
Produk ini sesuai kebutuhan dasar saya,produk ini sesuai kebutuhan dasar saya,neutral
Toko ini cukup reliable untuk belanja online,toko ini cukup reliable untuk belanja online,neutral
Barang diterima dengan kondisi normal,barang diterima dengan kondisi normal,neutral
Kualitas standar seperti produk sejenis lainnya,kualitas standar seperti produk sejenis lainnya,neutral
Pengiriman menggunakan kurir reguler,pengiriman menggunakan kurir reguler,neutral
Tidak ada masalah selama proses pembelian,tidak ada masalah selama proses pembelian,neutral
Produk ini cukup worth it untuk dicoba,produk ini cukup worth it untuk dicoba,neutral
Barang berfungsi sebagaimana mestinya,barang berfungsi sebagaimana mestinya,neutral
Pelayanan cukup memuaskan secara keseluruhan,pelayanan cukup memuaskan secara keseluruhan,neutral
Produk biasa saja untuk kategori ini,produk biasa saja untuk kategori ini,neutral
Barang sampai dan sesuai pesanan secara umum,barang sampai dan sesuai pesanan secara umum,neutral
Kualitas cukup baik untuk harga yang ditawarkan,kualitas cukup baik untuk harga yang ditawarkan,neutral
